cod_op_red,type_day,dates,predict
ORD1,ORD,2020-01-10 15:00,1334217.677
ORD1,ORD,2020-01-10 16:00,1320076.082
ORD1,ORD,2020-01-10 17:00,1303661.32
ORD1,ORD,2020-01-10 18:00,1368098.83
ORD1,ORD,2020-01-10 19:00,1359115.685
ORD1,ORD,2020-01-10 20:00,1302476.129
ORD1,ORD,2020-01-10 21:00,1202054.287
ORD1,ORD,2020-01-10 22:00,1071218.74
ORD1,ORD,2020-01-10 23:00,956282.4327
ORD1,SAB,2020-01-11 0:00,914694.3887
ORD1,SAB,2020-01-11 1:00,876494.8521
ORD1,SAB,2020-01-11 2:00,855520.1516
ORD1,SAB,2020-01-11 3:00,857289.7187
ORD1,SAB,2020-01-11 4:00,892754.779
ORD1,SAB,2020-01-11 5:00,944936.1525
ORD1,SAB,2020-01-11 6:00,1005500.585
ORD1,SAB,2020-01-11 7:00,1093057.968
ORD1,SAB,2020-01-11 8:00,1174035.965
ORD1,SAB,2020-01-11 9:00,1229667.684
ORD1,SAB,2020-01-11 10:00,1282815.513
ORD1,SAB,2020-01-11 11:00,1312171.895
ORD1,SAB,2020-01-11 12:00,1304234.038
ORD1,SAB,2020-01-11 13:00,1259398.113
ORD1,SAB,2020-01-11 14:00,1221602.592
ORD1,SAB,2020-01-11 15:00,1201946.091
ORD1,SAB,2020-01-11 16:00,1183337.868
ORD1,SAB,2020-01-11 17:00,1190045.177
ORD1,SAB,2020-01-11 18:00,1283600.266
ORD1,SAB,2020-01-11 19:00,1295694.538
ORD1,SAB,2020-01-11 20:00,1237388.094
ORD1,SAB,2020-01-11 21:00,1139451.941
ORD1,SAB,2020-01-11 22:00,1035150.754
ORD1,SAB,2020-01-11 23:00,945835.0041
ORD1,DOM,2020-01-12 0:00,848738.8103
ORD1,DOM,2020-01-12 1:00,808517.3852
ORD1,DOM,2020-01-12 2:00,780804.393
ORD1,DOM,2020-01-12 3:00,772672.9711
ORD1,DOM,2020-01-12 4:00,773848.9122
ORD1,DOM,2020-01-12 5:00,777580.3653
ORD1,DOM,2020-01-12 6:00,773536.8792
ORD1,DOM,2020-01-12 7:00,856773.3575
ORD1,DOM,2020-01-12 8:00,939380.235
ORD1,DOM,2020-01-12 9:00,997888.0354
ORD1,DOM,2020-01-12 10:00,1041970.685
ORD1,DOM,2020-01-12 11:00,1070152.064
ORD1,DOM,2020-01-12 12:00,1098016.999
ORD1,DOM,2020-01-12 13:00,1078692.707
ORD1,DOM,2020-01-12 14:00,1051797.819
ORD1,DOM,2020-01-12 15:00,1030606.336
ORD1,DOM,2020-01-12 16:00,1026596.014
ORD1,DOM,2020-01-12 17:00,1039614.691
ORD1,DOM,2020-01-12 18:00,1141361.507
ORD1,DOM,2020-01-12 19:00,1178027.381
ORD1,DOM,2020-01-12 20:00,1146978.719
ORD1,DOM,2020-01-12 21:00,1084264.192
ORD1,DOM,2020-01-12 22:00,995149.5709
ORD1,DOM,2020-01-12 23:00,923737.5363
ORD1,ORD,2020-01-13 0:00,872319.8569
ORD1,ORD,2020-01-13 1:00,838561.0773
ORD1,ORD,2020-01-13 2:00,829346.8392
ORD1,ORD,2020-01-13 3:00,838950.6549
ORD1,ORD,2020-01-13 4:00,894157.4549
ORD1,ORD,2020-01-13 5:00,1011420.015
ORD1,ORD,2020-01-13 6:00,1087258.299
ORD1,ORD,2020-01-13 7:00,1162578.079
ORD1,ORD,2020-01-13 8:00,1224741.395
ORD1,ORD,2020-01-13 9:00,1268962.059
ORD1,ORD,2020-01-13 10:00,1331714.918
ORD1,ORD,2020-01-13 11:00,1366339.052
ORD1,ORD,2020-01-13 12:00,1354249.573
ORD1,ORD,2020-01-13 13:00,1340882.741
ORD1,ORD,2020-01-13 14:00,1343195.655
ORD1,ORD,2020-01-13 15:00,1335912.746
ORD1,ORD,2020-01-13 16:00,1309883.7
ORD1,ORD,2020-01-13 17:00,1290224.174
ORD1,ORD,2020-01-13 18:00,1363671.895
ORD1,ORD,2020-01-13 19:00,1402836.79
ORD1,ORD,2020-01-13 20:00,1301025.962
ORD1,ORD,2020-01-13 21:00,1187454.361
ORD1,ORD,2020-01-13 22:00,1064601.672
ORD1,ORD,2020-01-13 23:00,967745.9709
ORD1,ORD,2020-01-14 0:00,883459.8444
ORD1,ORD,2020-01-14 1:00,823945.8012
ORD1,ORD,2020-01-14 2:00,808911.0805
ORD1,ORD,2020-01-14 3:00,834385.4254
ORD1,ORD,2020-01-14 4:00,903088.4339
ORD1,ORD,2020-01-14 5:00,1017698.381
ORD1,ORD,2020-01-14 6:00,1094547.313
ORD1,ORD,2020-01-14 7:00,1174060.56
ORD1,ORD,2020-01-14 8:00,1233777.33
ORD1,ORD,2020-01-14 9:00,1277451.33
ORD1,ORD,2020-01-14 10:00,1341882.723
ORD1,ORD,2020-01-14 11:00,1373151.622
ORD1,ORD,2020-01-14 12:00,1352920.513
ORD1,ORD,2020-01-14 13:00,1337911.379
ORD1,ORD,2020-01-14 14:00,1342569.637
ORD1,ORD,2020-01-14 15:00,1330586.294
ORD1,ORD,2020-01-14 16:00,1311170.895
ORD1,ORD,2020-01-14 17:00,1293325.212
ORD1,ORD,2020-01-14 18:00,1402459.314
ORD1,ORD,2020-01-14 19:00,1385451.186
ORD1,ORD,2020-01-14 20:00,1306382.48
ORD1,ORD,2020-01-14 21:00,1188082.097
ORD1,ORD,2020-01-14 22:00,1064347.486
ORD1,ORD,2020-01-14 23:00,965321.9181
ORD1,ORD,2020-01-15 0:00,881835.7974
ORD1,ORD,2020-01-15 1:00,846281.4776
ORD1,ORD,2020-01-15 2:00,834053.8773
ORD1,ORD,2020-01-15 3:00,840796.9827
ORD1,ORD,2020-01-15 4:00,905918.0822
ORD1,ORD,2020-01-15 5:00,1019708.53
ORD1,ORD,2020-01-15 6:00,1096553.755
ORD1,ORD,2020-01-15 7:00,1165616.773
ORD1,ORD,2020-01-15 8:00,1224085.53
ORD1,ORD,2020-01-15 9:00,1270400.754
ORD1,ORD,2020-01-15 10:00,1333616.38
ORD1,ORD,2020-01-15 11:00,1365764.125
ORD1,ORD,2020-01-15 12:00,1354428.399
ORD1,ORD,2020-01-15 13:00,1342747.096
ORD1,ORD,2020-01-15 14:00,1344938.614
ORD1,ORD,2020-01-15 15:00,1340846.944
